"fire_regime","species","emmean","SE","df","lower.CL","upper.CL"
"Unburned","Byrsonima coccolobifolia",0.747500878605145,0.423040605360116,958,-0.0826923389296874,1.57769409613998
"Unburned","Byrsonima laxiflora",0.721291199544559,0.418521059477665,958,-0.100032665284155,1.54261506437327
"Unburned","Byrsonima verbascifolia",0.853464713544189,0.423040607574233,958,0.0232714916642789,1.6836579354241
"Unburned","Curatella americana",0.519465499813506,0.151325756168096,958,0.222497277809994,0.816433721817018
"Biennial","Curatella americana",1.19230049340206,0.293207730970057,958,0.616896935219016,1.7677040515851
"Triennial","Curatella americana",1.08934495039621,0.172899066031594,958,0.750040330180508,1.42864957061192
"Annual","Curatella americana",1.28675914754,0.240883177940063,958,0.814039559845003,1.759478735235
"Unburned","Dimorphandra mollis",0.826816370546916,0.242493880388456,958,0.350935870563169,1.30269687053066
"Biennial","Ferdinandusa elliptica",0.545618032393604,0.303230486303701,958,-0.049454615218617,1.14069068000583
"Unburned","Hancornia speciosa",1.61419135681861,0.194918814617288,958,1.23167422769467,1.99670848594254
"Triennial","Hancornia speciosa",0.896532963969903,0.242493749952745,958,0.420652719958849,1.37241320798096
"Annual","Hancornia speciosa",1.14423620394057,0.240984230681539,958,0.671318305966314,1.61715410191483
"Unburned","Handroanthus chrysotrichus",0.763240176865042,0.428401131852949,958,-0.0774727701718244,1.60395312390191
"Biennial","Himatanthus obovatus",0.623191712598481,0.418521055348494,958,-0.198132144126969,1.44451556932393
"Triennial","Hymenaea stigonocarpa",1.1797455529355,0.305893653709442,958,0.579446590190896,1.7800445156801
"Unburned","Kielmeyera grandiflora",0.617453795393652,0.1929039376204,958,0.238890748208403,0.996016842578901
"Biennial","Kielmeyera rubriflora",1.23718422128919,0.414658348364679,958,0.423440708149339,2.05092773442905
"Unburned","Myrcia bella",0.678815157122109,0.299134880994933,958,0.0917799028616307,1.26585041138259
"Biennial","Myrcia bella",1.99006072900406,0.414658348363468,958,1.17631721586658,2.80380424214153
"Unburned","Pouteria ramiflora",0.550072186481456,0.246456413601149,958,0.0664154395943322,1.03372893336858
"Unburned","Qualea grandiflora",0.740242929476849,0.423040605360593,958,-0.0899502880589184,1.57043614701262
"Biennial","Qualea multiflora",1.30567750002098,0.418521055348442,958,0.484353643295629,2.12700135674633
"Unburned","Qualea parviflora",0.989447908430923,0.418521059478176,958,0.168124043601206,1.81077177326064
"Biennial","Qualea parviflora",0.84790505369217,0.418521055348262,958,0.0265811969671746,1.66922891041716
"Unburned","Salvertia conwalariodora",0.796160970487982,0.428401129666658,958,-0.0445519722584126,1.63687391323438
"Unburned","Tachigali paniculata",2.04859941263609,0.13343584225675,958,1.78673913299863,2.31045969227355
"Biennial","Tachigali paniculata",1.89744541616629,0.20780707987815,958,1.4896357967476,2.30525503558497
"Triennial","Tachigali paniculata",1.84092062479275,0.418521055349618,958,1.01959676806509,2.6622444815204
"Annual","Tachigali paniculata",2.0344807093021,0.172243285193036,958,1.69646302182397,2.37249839678024
"Unburned","Vochysia haenkeana",2.90505619078256,0.310275358998853,958,2.2961583796853,3.51395400187981
"Biennial","Vochysia haenkeana",1.09569461322875,0.297524110137229,958,0.511820405506416,1.67956882095108
"Triennial","Vochysia haenkeana",2.02853893376348,0.225971594501061,958,1.58508248364183,2.47199538388514
"Annual","Vochysia haenkeana",1.79451358533649,0.243598373841388,958,1.31646557953459,2.2725615911384
